RECRUIT_ID,MAJOR_RECRUIT,DETAIL
0,旅游管理,"岗位职责：电话沟通客户,机票订购服务 任职条件：中专及以上学历，年龄****-****岁。    1.计算机操作熟练,打字速度****字/分以上    2.普通话标准,声音圆润,记忆力好,有良好服务意识    3.能吃苦耐劳,性格大方,善于通过电话与人沟通,责任感强    4.工作积极主动、认真、负责有良好的团队合作精神和沟通理解能力"
1,汽车工程,"****-****岁，持B牌或以上驾驶证，3年以上驾龄，有1年以上拖车驾驶经验,有深户担保。"
2,软件工程,此招聘信息由系统根据单位搜索条件自动生成！
3,电子材料与元器件,"从事仓管工作2-3年,熟悉电子元器件,责任心强,工作认真细致,能吃苦耐劳.电脑熟练,会金蹀登帐者优先.会财务知识者优先!急聘!无经验者请勿扰!"
4,市场营销,"职位名称：销售助理职位概要：    协助销售部经理完成销售部门日常事务工作。岗位职责：    1、协助销售部经理和销售人员输入、维护、汇总销售数据；    2、进行成本核算，提供商务报表及部门销售业绩的统计、查询、管理；    3、依据统计整理的数据资料，向主管提交参考建议与方案，用于改善经营活动；    ****公司订单，合同的执行并归档管理；   ****公司做好售后服务工作；    6、接待来访客户及综合协调日常行政事务。任职要求：    1、****岁以下，市场营销或相关专业大专以上学历。    2、对市场营销工作有深刻的了解, 三年以上电子产品相关工作经验；    3、熟练操作办公软件和办公自动化设备。    4、坦诚、自信，高度的工作热情；     5、有良好的团队合作精神，有敬业精神；     6、较强的观察力和应变能力，良好的判断力和沟通能力。"
5,会计学,"会计专业的应届毕业生或有工作经验的从业人员均可,有意****公司咨询,谢谢."
6,【计算机科学与技术】,"1)有一定的相关产品跟单经验,能及时反馈相关的产品问题!2)略懂英文,有相关的产品知识!3)能够很好的安排工作,对分配的工作能及时完成!4)吃苦耐劳,能适应工作的需求!5)谈吐大方得体,能认真执行经理分配的任务!6)中专或高中以上文化程度7)有手袋,腰带,发饰等工作经验的优先考虑****公司目前在深圳关外平湖华南城,无意在关外工作,请勿投简历!"
7,【机械工程】,机械类专业毕业，优秀应届毕业生或有1年以上机械装配经验，机械知识基础扎实，上进心强（熟悉运用CAD、SOLIDWORKS绘图，有过夹具设计经验更佳）                      试用期：****-****元/月
8,会计学,中专以上学历，有会计证，有一定工作经验，为人诚恳，责任心强，良好的稳定性和忠诚度。已婚即深户者优先。
9,机械设计及理论,机械设计及相关专业大专以上学历，有三年机械行业设计开发工作经验，懂机械原理、结构，熟悉液压及气动原理，有独立设计、维修油压系统工作经验，熟练操作ＰＲＯＥ、ＣＡＤ。
10,会计电算化,出纳1名，性别女，会计专业毕业，有会计证优先，相关工作经历1年以上，有意者请电话联系面试。
11,企业管理,擅于与人沟通，责任心强，有丰富的企业管理知识和在制造加工型企业从事行政管理的经验。
12,电子材料与元器件,"有成品核算和往来账处理经验,会做全盘帐，熟悉电子材料（有电子厂工作经验,并接触过电子件）往来账处理即可。（持深圳会计证）注:此职位在关外上班(公明工厂),无意到关外工作者勿投!"
13,物流管理,1、负责业务员的订单报价，做合同及售后服务； 2、负责商务订单入库，出库事宜   能力要求：1、男女不限，年龄****-****岁，专业：财务或电子商务 2、一年以上工作经验；3、熟练使用电脑，会用财务软件K3，个人责任心强； 4、有业务跟单经验，深户优先；
14,会计学,1、招聘1名，年龄在****岁以上，持有《(会*证》，大专以上学历，财会专业，金蝶财务软件操作熟练；2、财务工作经验二年以上，熟练会计全盘帐目处理、银行税务操作及工资核算等会计工作，具有工程项目会计工作者优先；3、为人诚恳、善良，工作认真细心，责任心强；
15,英语,本中心立足深圳六年，所在片区小学初中林立，六年来生源稳定！现因发展需要，招聘英语及语文教师各2名。tAr深圳教师招聘网   要求：女，师范类专业毕业，有教学经验，口语好，喜欢教师行业，喜欢和小孩子打交道，并且愿意在深圳长期工作者！tAr深圳教师招聘网   待遇：试用期一个月，试用期过后底薪加提成，****元左右/月，包食宿。tAr深圳教师招聘网   工作地点：罗湖区田贝四路金丽豪苑鹏利阁****楼tAr深圳教师招聘网   联系电话：******  ******  葛老师tAr深圳教师招聘网   乘车路线：****、****、****、****、****、****、1路直接到田贝四路下即可，下车后电话联系。tAr深圳教师招聘网    特别提醒广大求职者：深圳一般的民办学校及辅导中心工资待遇都在****左右，如有说得特别玄乎的，或者要交押金和服装费之类的，纯属骗人，切勿上当受骗！
16,电子材料与元器件,有电子厂2年以上相关的管理工作经验，熟悉充电器、变压器的流程。  对烙铁、插件、浸锡、手工贴片、后焊、装配工艺熟练，熟悉各种电子元器件，有较强的工作主动性、责任心、团队合作精神，沟通协调能力强。
17,人力资源管理,有2年以上从事人力资源、行政管理工作经验，工作认真负责，责任心强，有开拓精神，有工作激情，团队精神强，协调能力强，沟通能力强，能吃亏耐劳，身体好。
18,【电子科学与技术】,"三年以上电子产品设计和电路匹配调试的实际工作经验，懂电子线路PCB板设计、制作与修改,能够独立完成原理图，熟练使用protel, power PCB 等软件,熟悉车载MP3、数码产品相关工程人员,有良好的沟通能力、有较强的团队合作能力和敬业精神"
19,人力资源管理,1、熟悉当地的劳动保障、社保、劳动关系等相关法律法规政策；2、对工厂员工社保、劳动关系处理、员工关系处理有优秀的协调、操作能力；3、有优秀的组织、协调、沟通能力，协助厂长开展工厂企业文化宣传、人员调配、补充等其他工作；4、有陶瓷行业经验者优先考虑！
20,土木工程,1.能熟练使用CAD等各种工程软件，能绘制建筑、结构施工图。2.能熟练使用办公软件。3.熟悉建筑施工技术，能进行施工监理。
21,经贸英语,"有团队协作意识,沟通能力强,善于表达自己,有外贸销售经验2年以上.销售经验丰富,掌握了汽车音响、家电等消费电子知识.（请直接投简历至邮箱）"
22,市场营销,我公司急招聘业务员3名， 营销专业或从事过市场营销，年龄****-****，做电话网络营销，销售光纤通信设备.感兴趣的朋友请电话联系
23,电子材料与元器件,"1. 有电子厂1年以上相关的工作经验，细心、能吃苦耐劳;熟悉各种电子元器件及电脑办工软件，有较强的工作主动性、责任心、团队合作精神，沟通协调能力强。 2.文书工整,有一定的数学计算能力，能根据物料清单及定单量计算出所需物料用量, 能做相关的仓库帐。"
24,计算机应用技术,1、身心健康，工作认真负责，动手能力强，基础知识扎实，有一定的工作经验及工作能力。证件齐全。诚实善良。2、计算机、电子等相关专业本科或以上学历，有扎实的计算机基础知识。3、熟练掌握ＶＣ＋＋等，有2年以上的VC++软件开发经验，编写调试过一定规模的程序。4、熟练掌握 MS SQL Server  数据库。5、熟练界面开发、应用程序开发。6、工作要塌实、有条理性，善于勾通。7、微电子、电子应用技术等相关专业本科或以上学历。8、从事相关工作2年以上。
25,【计算机科学与技术】,熟悉SQL、局域网、C++，财会、企业管理流程的女性优先
26,计算机网络与多媒体,1）熟练计算机操作，能排除常见计算机软硬件故障，熟悉PC系统与软件的安装。2）了解电脑网络维护。能处理一般的网络问题。3）能用PHOTOSHOP做一般的图象处理。4）做人踏实，工作责任心强，积极主动 。
27,国际贸易学,要求样貌端庄，吃苦耐劳，对工作有热情，有外贸工作和船务工作经验的为优先考慮。
28,【机械工程】,1、全日制院校毕业生；2、一年以上相同工作****公司 ****公司網站 
29,市场营销,对汽车GPS产品市场推广和营销有丰富的经验，具独立工作和团队协作工作能力，或对IC等电子产品销售有经验也可。
30,计算机网络与多媒体,有2年以上维修电子电器实际工作经验，能熟练应用示波器等维修设备和仪器，能熟练焊接IC和电子元器件。工作认真细致，责任心强，合作精神强，有团队精神，能吃亏耐劳，身体好。
31,国际经济与贸易,"大专以上学历，CET四级以上，熟悉外贸流程，能够使用英语与国外客户进行沟通及书写相关文书；有责任心、团队合作意识强；有效开发国际市场，工作自主能动性强。主要客户市场是南美、东南亚地区、俄罗斯等地区,有印刷纸品加工设备销售经验者优先。****公司已是多个网络商务平台的付费会员，为业务发展提供十分良好的舞台，工作环境宽松，气氛紧凑。有志加入之人士请随时与我联系。    机器基本上在8万美金以上，待遇是基本底薪+提成，并提供良好机械方面知识培训，使新进同事快速上手。     请联系"
32,国际贸易学,形象气质佳，待人接物大方得体，英语四级以上，电脑操作熟练，有外贸跟单经验及二年以上总经理秘书工作经验。
33,电子信息工程学,1、精通数字、模拟电路。2、精通A/D转换电路。3、精通****系列单片机开发。4、有实际设计检验者优先。
34,会计学,1、招聘1名，年龄在****岁以上，持有《(会*证》，大专以上学历，财会专业，金蝶财务软件操作熟练；2、财务工作经验三年以上，熟练会计全盘帐目处理、银行税务操作及工资核算等会计工作，具有工程项目会计工作者优先；3、为人诚恳、善良，工作认真细心，责任心强；4、需有深户担保。
35,美术学,"美术专业中专以上文化程度，能熟练操作Photoshop,Illustrator，了解菲林分色、输出和印刷原理，有绘画基础和一年相关工作经验者优先。"
36,办公自动化,****岁以上，中专以上学历，熟悉office办公软件，形象好、气质佳，有一定标书经验者优先考虑．
37,会计学,财务会计专业大专以上学历，有工作经验者优先，工作认真细心，责任心强，职业道德强，能吃亏耐劳，合作精神强，团队精神强，身体好。（需深户担保）
38,工业自动化,要求懂2D，3D等绘图软件，对非标设备有了解。
39,【工商管理】,"熟悉房地产证办证流程,有相关从业经验优先."
40,汉语言文学,总经理****公司文案策划，品牌推广，有较深的文学功底。有五年以上从事大型企业品牌策划推广之经验，为人平和有内涵。
41,电子信息工程学,1、大专以上学历，自动化、电子信息工程学、电子信息科学与技术等专业，非常熟悉MC****单片机。2、熟练使用PROTEL软件，有该软件实际产品设计经验。3、吃苦耐劳、积极进取，较强的创新能力和较强的团队意识，有较强的独立处事能力。
42,会计电算化,"有一年经上出纳工作经验，银行业****公司熟悉）字迹工整，工作细心，安全意识强，负责银行业务办理，应付账核对，日常报销工作处理等（持深圳会计证）注:此职位在关外上班(公明工厂),无意到关外工作者勿投!"
43,市场营销,1、工作认真 爱岗敬业 独立完成各项业务    2、熟练驾车 具有驾驶证B照
44,市场营销,1、招聘6名，年龄在****—****岁，身体健康；2、高中以上学历，普通话标准、流利，办公电脑操作熟练，有开拓进取精神及陌生客户开发和跟进能力，能承受一定的工作压力。3、性格开朗、工作认真、责任心及沟通能力强，有团队精神及电话营销经验者优先。
45,电子材料与元器件,"有成品核算和往来账处理经验,熟悉电子材料（有电子厂工作经验,并接触过电子件）往来账处理即可。（持深圳会计证）注:此职位在关外上班(公明工厂),无意到关外工作者勿投!"
46,平面设计,平面设计师:1、美术设计专业；2、三年以上本专业工作经验，有地产广告和物业标识设计经验更佳，工作认真负责。合则约见。
47,语言学及应用语言学,性别：不限年龄：****-****周岁学历：本科要求：1、有一定的文学基础，文笔好。      2、能够熟练操作电脑，熟悉使用办公软件和办公设备，相关专业毕业者优先。      3、沟通协调能力强。
48,平面设计,"一、职责描述:1.能独立完成设计任务:如设计Logo,招牌，宣传单，海报，优惠券等平面广告。二、职位要求: 1.精通各种设计软件如：Photoshop、Coreldraw、Illustrator. 懂3DMAX、CAD等软件.2．工作认真细心、负责。能够吃苦耐劳，有上进心，能独立完成设计任务，能够****公司所下达的各项任务以及指示,富有敬业精神。 3.良好的沟通能力和理解能力。"
49,国际贸易学,外贸业务员要求如下：1.男女，年龄不限2.英语专业3.熟悉外贸流程如你符合以上要求，请于2月****-1****公司面试（外贸经理出国****号回来）
50,计算机网络与多媒体,公司专业生产销售光通信器件及光通信设备，招收电子技术员和销售文员（电话销售业务员），若干名，有行业经验者优先，待遇优。由于查不到你们的联系方式，感兴趣的朋友请拨手机，谢谢
51,【计算机科学与技术】,1、数学、计算机等相关专业大专以上学历；2、熟悉SQL Server 数据库；3、熟练掌握TPC/IP通讯应用；4、有熟悉WEB页面开发和WebService 开发者优先考虑；5、从事软件开发工作1年以上；6、要求具有诚实的人品、敬业的精神、吃苦耐劳的作风、较强的团队协作精神。
52,【其他专业】,"本公司****公司，该职位主要处理包装货物发往海外。仓库发货员:中专以上文化,****-****岁.          具备认真严谨的工作态度,具较强的沟通协调能力,踏实能干.          对仓库的收发货物有一定的经验."
53,【电子科学与技术】,职位名称：硬件工程师职位概要：    设计、开发、调试、维护、管理符合功能、性能要求的硬件产品。岗位职责：    1、硬件平台的开发，主要包括器件的选型、详细设计、原理图的绘制、PCB检查、硬件板的调试等     2、硬件板的测试和支持系统测试     3、支持结构组完成规格设计 任职要求：    1、电子通信类或者相关专业本科以上学历，英语熟练；    2、三年以上从事硬件相关工作经验，有GPS研发经验者优先；    3、良好的产品意识，质量意识和客户意识    4、工作认真主动，态度积极，有较强的责任心，    5、善于沟通，较强的学习能力，具有良好的团队精神和协调能力。
54,软件工程,1、 熟悉电视机原理、DVD原理    2、能独立完成****开发    3、对MST和SUNPLUS芯片了解者优先
55,企业管理,"在深圳有一定的实践销售工作经验,及社会阅历,项目洽谈,公共关系协调能力.气质形象较好,谈吐能力较强."
56,会计学,行政文员:最好是财会相关专业，有二年以上工作经验，工作细心负责。合则约见。
57,【电子科学与技术】,"性别地域不限,有一年以上MP3组装线,后焊线现场管理经验,熟悉5S,有一定的领导能力,组织能力,为人诚实,能独立完成生产现场管理的各项工作."
58,计算机应用技术,2名；性别不限；大专或以上学历，电子、通信或自动化专业；3年以上同等职位工作经验     1.婚否不限；     2.身体无残疾，五官端正；     3.能熟练操作办公软件，及能熟练使用PROTEL和PADS的PCB绘图软件；     4.具有多年的电子产品开发经验，熟练测试测量技术.熟练各种电子测量仪器.设计规范.对EMI、EMC等各种UL和FCC产品设计熟悉，具有强烈的创新意识和开拓精神；     5.有较强的沟通协调能力及语言﹑文字表达能力.
59,会计学,职位名称：会计一名职位****公司与税务相关的各种业务，确保企业税务目标的实现。岗位职责：    1****公司会计凭证，审核、装订及保管各类会计凭证，登记及保管各类帐簿。     2、按月编制会计报表（资产负债表、损益表等），并进行分****公司领导备案决策。     3、编制资金、供销成本费用、管理费用预算，控制成本预算，制定、分析进销预算，处理其他有关预算的事项。     4、建立内部核算****公司领导制定内部核算办法与标准，记录内部核算资料，分析内部核算结果，处理其他有关内部核算的事项。     5****公司财务运作情况，及时与出纳核对现金、应收(付)款凭证、应收(付)票据，做到帐款、票据数目清楚。     6****公司领导交办的其他事项。任职要求：    1、持有有会计资格证书，财务、会计专业大专以上学历；    2、热爱本职工作，熟悉会计操作、会计核算流程与管理、各种财务报表及其分析；    3、熟悉国家财经法律法规和税收政策及相关财务的处理方法、熟悉银行业务和报税流程及增值税，进出口操作流程和相关规定；    4、具有较高的理论水平和文字表达能力，有较强的综合分析判断能力、协调能力，原则性强；     5、叁年以上全盘会计工作经验，能熟练使用计算机和相关财务软件，能独立进行建帐立制；    6、遵纪守法，品行端正，具有良好的职业道德，较好的沟通能力及团队合作意识；        发送至邮箱的简历请用文本发送！
60,【计算机科学与技术】,"1)有一定的相关产品跟单经验,能及时反馈相关的产品问题!2)略懂英文,有相关的产品知识!3)能够很好的安排工作,对分配的工作能及时完成!4)吃苦耐劳,能适应工作的需求!5)谈吐大方得体,能认真执行经理分配的任务!6)中专或高中以上文化程度7)有手袋,腰带等工作经验的优先考虑****公司目前在深圳关外布吉南岭,无意在关外工作,请勿投简历!"
61,平面设计,"熟悉CAD,3D,PHTOSHOP等图片处理软件,并具有良好的沟通能力."
62,电子信息工程学,本科以上学历，英语六级，电子电气相关专业。限女性，熟悉Windows XP  Office等办公软件，能够操作Protel**** AutoCAD等设计软件。具有一年以上研发部技术文档管理经验，懂平面设计、网站维护者优先。
63,【土木工程】,熟悉深圳市市政工程资料，预结算优先。
64,文秘,1、****-****岁，身高1.****米以上，大专以上学历，有2年以上相关工作经验；2、形象气质佳，相貌好，性格外向；  3、有较强的谈判能力，精通国际商务往来事务及现代办公软件。 4、做事有条理，有较强的承压能力，对岗位工作充满激情和自信。5、有强烈的工作责任心及优秀的团队合作精神。6、有良好的公文写作能力。
65,【计算机科学与技术】," ****公司****公司里的一些资料整理,图片处理,样品室的整理及人员的作息考核,办公室文具方面的采购等.    协助业务做一些跟单工作!    1)中专以上学历     2)电脑熟练,会基本的办公软件,会使用PHOTOSHOP.    3)谈吐大方,会考虑各方面处理事情     4)能吃苦耐劳,胜任工****公司在关外布吉南岭村,如果无意在关外工作,请勿投简历!"
66,【电气工程】,电子信息工程或机电一体化等相关专业，两年以上工作经验，熟悉机电产品PCB电路设计及电路维修，熟练掌握分析电子电路，会单片机编程。试用期：****-****元/月
67,会计学,"1.深圳市户口,2.持有会计证书,有1年以上工作经验,3.熟练运用办公软件及财务软件4.大专以上学历"
68,电子材料与元器件,"助理文员:性格温和,能吃苦耐劳,适应力好应变能力强；熟悉办公软件的应用 ,有跟单经验者优先。"
69,经贸英语,此招聘信息由系统根据单位搜索条件自动生成！
70,电气工程及其自动化,中专以上学历，自动化、市场营销或相关专****公司产品（变频器），两年业务做作业经验。可接受对外派遣，吃苦耐劳、性格外向、沟通能力强，电气自动化或相关专业（可接受特别优异之应届毕业生
71,财务管理,"1、财会专业毕业，大专以上学历，有一定的会计理论基础及工作经验。2、同等岗位2年以上工作经验，1年以上深圳工作经验，有旅游行业工作经验优先。3、电脑操作熟，能熟练运用Excel,Word等办公软件及用友财务软件。4、能吃苦耐劳，服从领导，适应加班****公司要求做好保密工作 。6、深圳市户口优先！或者深圳市户口担保."
72,会计学,能独立，熟练的做工厂帐目，有做一般纳税人企业帐目的工作经验。
73,【建筑学】,任职要求：****岁以下，大专以上学历，熟悉电气基础理论知识，有电气工程技术职称。懂CAD绘图，熟悉电气安装工程的施工工艺和独立完成照明电气设计，二年以上照明灯具、弱电、机电设备安装经验。
74,会计学,有工作经验两年以上。
75,电路与系统,有电子电器、通讯网络等中专以上学历，有1年以上实际维修电子电器工作经验，工作认真细致，责任心强，有职业道德，有合作精神，有团队精神，能吃亏耐劳，身体好。
76,市场营销,1、性别不限。2、年龄****—****岁之间。3、大专以上学历，三年以上营销经验。4、能制定和实施迎合营运目标的营销战略。5、能制定和实施促进产品销售和市场份额增长的战略。6、能独立做单也能带领团队实现销售目标。8、有酒店行业或酒店用品行业经验者优先。
77,人力资源管理,在商业及租赁行业有相关的人力资源工作经验了解人力资源6大****公司相关管理制****公司架构及人员调整，熟悉社保问题处****公司人力资源现状实施可行性的规划清楚对外办事流程及人员绩****公司发展作长期规划
78,【工商管理】,熟悉办公室操作，工作认真！
79,平面设计,1.设计专业，有良好的美术功底，中文程度较强。                         2.熟练操作Photoshop、PowerPoint、CorelDRAW、Illustrator等设计软件。                        3.能独立完成设计制作，理解及沟通能力强。
80,土木工程,1、中专及以文凭有3年以上现场建筑工程施工管理经验。2、有施工员职称证。3、能长驻工地，吃苦耐劳，有责任心。4、工作地点：深圳、福建。
81,日语,1；有持续的工作激情2；日语口语流利2级以上3；有客户开发经验
82,市场营销,"******是一家多年从事打印机办公设备及周边****公司，现有产品为国内知名品牌，主要客户有金融保险、供电等系****公司发展需要招聘以下职位; 一、销售部经理1名：大专以上文凭，****岁---****岁，性别不限，有相关办公设备及耗材客户资源,善于组织管理，能独立带领销售****公司发展大局出发处理问题；二、办公设备耗材业务员多名：高中以上文凭，****---****岁，性别不限，要求具有从事硒鼓/墨盒/色带等针打耗材销售经验,有一定客户资源优先；三、电话营销员多名：高中以上文凭，****—****岁，性别不限,有打印机耗材销售经验优先，要求有电话营销经验,语言表达能力强,对自身要求严格，能承受一定工作压力；四、办公设备维修工程师2名：具有激光机/喷墨机/针式打印机/高速行式打印机维修经验,专兼职均可；其它：以上职位一经录用待遇从优，底薪+提成（4%-****%）+福利津帖（住房+交通+电话费）+奖金，试用期一至三个月,正式录用后签定劳务合同享受国家****公司充分考虑个人成长发展空间，实行能者上平者让的竞争机制，使员工在工作中不断进步完善。"
83,电子信息科学与技术,性别不限，要求大专以上学历，电子专业，年龄****-****岁，3年以上单片机软件设计经验，电子技术经验，可进行对单片机及外围电路设计。
84,国际贸易学,"1.****岁以上;     2.大专以上学历;     3.国际贸易或外贸英语专业;     4.英语六级以上,口语流利,善于与外商沟通,熟悉外贸流程;     5.有电子行业国际贸易经验一年以上;     6.深户及带港澳通行证者优先;     7.工作地点：布吉坂田"
85,英语,1、国家统招全日制本科毕业。商贸英语专业或者国际贸易专业。2、英语听说读写流利，英语证书必须6级以上。（此项不符者勿投简历）3、有至少一年一上外贸工作经验。4、有ALIBABA英文B2B网站相关操作经验。5、熟练使用PHOTOSHOP或相关图片处理软件。6、熟练使用WORD，EXCEL等相关办公软件。
86,电子材料与元器件,思想端正，品质优良，对工作认真负责，熟悉数码产品及手机者优先考虑。
87,市场营销,"吃苦耐劳,形象亲切,有较好的表达能力及沟通能力.具备良好的职业道德!"
88,财政学（含税收学）,"会计专业,能熟练应用金碟软件,善于沟通。1、实习期为两个月，实习期没工资。2、实习期后转入三个月试用期，试用期每个月底薪****元，****元餐补，   ****元电话费。3、试用期后底薪****元+****元餐补+****元电话费+提成及社保。敬请有心想学习会计实务，从事会计行业者方可投简历，谢谢合作。"
89,国际贸易学,"热爱外贸工作,熟悉数码产品及手机产品,英语书写及口语要流畅,****公司工作.英语优秀者，应届毕业生亦可。"
90,电子信息科学与技术,手机和MP3、MP4的维修.检测.
91,【工商管理】,熟悉办公室操作，工作认真！
92,【机械工程】,机械制造或机械设计专业，5年以上工作经验，熟练操作SOLIDWORKS和CAD软件，具备丰富的机械结构设计经验，能独立担当某项自动化工装夹具设计任务.试用期：****-****元/月
93,【工商管理】,"熟悉房地产销售后续工作流程,有房地产销售经验者优先."
94,会计学,5年以上一般纳税人工业会计帐务处理及财务管理工作.有深圳市会计证.工作责任心强.
95,【计算机科学与技术】,从事计算机网络、软件，熟悉oracle、SQL数据库结构，熟练JAVA、C++这方面工作有一年以上经验
96,英语,"1, 英语四级以上2, 熟练使用计算机常用软件,OFFICE, PHOTOSHOP,COREDRAW 等图片处理软件3, 对平面设计有一定了解, 并能独立完成产品图片广告的制作."
97,电子材料与元器件,"从事仓管工作2-3年,熟悉电子元器件,责任心强,工作认真细致,能吃苦耐劳.电脑熟练,会金蹀登帐或财务知识者优先!急聘!无经验者请勿扰!"
98,会计学,"岗位职责1、负责采购部日常工作的安排及采购工作，需一定的相关工作经验；2、采购单的下达；3、采购物品交货期的跟踪及控制；4、进行相关市场行情的调查，确保采购单价的合理性，根据需要开发新的供应商；5、与供应商有关交期、交量等方面沟通协调；6、完成上级交给的其它事务性工作。任职资格1、中专及以上学历，物流类等相关专业优先；2、2年以上相关工作经验，有印刷行业，电子行业工作经历者优先考虑；3、熟悉采购流程，熟悉ERP系统；4、熟练使用Word, excel等办公软件，电脑操作熟练；5、工作细致认真，责任心强，思维敏捷，具有较强的团队合作精神；6、年龄****-****岁，已婚已育者优先。"
99,公共行政管理,"1、大专以上学历，行政管理、人力资源管理或企业管理专业毕业.2、有后勤管理,招聘，培训，绩效考核，以及劳动关系处理等实际操作经验.3.有同职工作经验2年以上.4.工作认真严谨,勤奋好学,积极进取,责任心强."
100,【其他专业】,"2名；男性；****-****岁；大专或以上学历，计算机应用专业；2年以上同等职位工作经验 .  1.婚否不限； 2.身体无殘疾，五官端正； 3.能对各种IT设备进行有效的日常故障处理及维护管；能进行网站后台维护及管理。    4.能吃苦耐劳，热情﹑敬业,具良好的表达与沟通能力."
101,国际经济与贸易,"Requirements:degree holder good communication skills in English ,at least 2-3 years of experience in manufacturing export and shipping fields. Work conditions:8 hours per day; 5-1/2 work day per week;Public Holidays;5-**** days paid holidays in the Chinese New Years. Benefits:pension;free meal and sudsidized accomodation;discretionary bonus based on performance."
102,包装设计,"一、相关专业毕业；二、两年以上平面设计工作经验（有包装设计经验者优先）；三、熟练操作平面设计软件，Coredraw , ps 等；四、做事细心，对待工作认真负责；五、对印刷、菲林输出及后道工艺有一定的了解。 "
103,人力资源管理,1.熟练运用人力资源管理的技巧.如人才测评等等.2.有很好的方案能为企业长期发展提供人力保障.3.熟悉生产型企业绩效考核4.对企业文化管理和企业内训有一定经验.
104,自动化,熟悉2D，3D等绘图软件，对机加工有一定的经验和机械的制作流程。
